Approved name	Status	Previous symbols	Chromosome	Accession numbers	RefSeq IDs	OMIM ID(supplied by OMIM)	Ensembl ID(supplied by Ensembl)	NCBI Gene ID(supplied by NCBI)
RNA, U6 small nuclear 1131, pseudogene	Approved		18q21.1				ENSG00000201825	106480064
RNA, U6 small nuclear 1132, pseudogene	Approved		2q21.2				ENSG00000239108	106481937
RNA, U6 small nuclear 1133, pseudogene	Approved	RNU6-186P	6p21.33				ENSG00000222895	106481537
RNA, U6 small nuclear 1134, pseudogene	Approved		17q11.2				ENSG00000202026	106480065
RNA, U6 small nuclear 1135, pseudogene	Approved		11q14.2				ENSG00000223015	106481538
RNA, U6 small nuclear 1136, pseudogene	Approved		7q22.1				ENSG00000252643	106480066
RNA, U6 small nuclear 1137, pseudogene	Approved		17q21.31				ENSG00000252882	106480067
RNA, U6 small nuclear 1138, pseudogene	Approved		14q11.2				ENSG00000202229	106480641
RNA, U6 small nuclear 1139, pseudogene	Approved		1q43					106481539
RNA, U6 small nuclear 1140, pseudogene	Approved		2q37.3				ENSG00000222449	106480068
RNA, U6 small nuclear 1141, pseudogene	Approved		10p12.31				ENSG00000201390	106481540
RNA, U6 small nuclear 1143, pseudogene	Approved		11p15.4				ENSG00000251934	106480069
RNA, U6 small nuclear 1144, pseudogene	Approved		6q21				ENSG00000206974	106481938
RNA, U6 small nuclear 1145, pseudogene	Approved		2p15				ENSG00000206973	106481541
RNA, U6 small nuclear 1146, pseudogene	Approved		20q13.31				ENSG00000252091	106480070
RNA, U6 small nuclear 1147, pseudogene	Approved		2q14.3				ENSG00000200250	106480071
RNA, U6 small nuclear 1148, pseudogene	Approved		5q31.2				ENSG00000222924	106480642
RNA, U6 small nuclear 1149, pseudogene	Approved		21q22.3				ENSG00000252619	106481542
RNA, U6 small nuclear 1150, pseudogene	Approved		21q22.3				ENSG00000252606	106480072
RNA, U6 small nuclear 1151, pseudogene	Approved		8p23.1				ENSG00000207415	106481543
RNA, U6 small nuclear 1152, pseudogene	Approved		17q21.32				ENSG00000207306	106480073
RNA, U6 small nuclear 1153, pseudogene	Approved		16q12.2				ENSG00000252569	106480643
RNA, U6 small nuclear 1154, pseudogene	Approved		7q33				ENSG00000212303	106480074
RNA, U6 small nuclear 1155, pseudogene	Approved		16q21				ENSG00000200424	106481544
RNA, U6 small nuclear 1156, pseudogene	Approved		11q24.2				ENSG00000222297	106480075
RNA, U6 small nuclear 1157, pseudogene	Approved		11q23.3				ENSG00000207185	106481545
RNA, U6 small nuclear 1158, pseudogene	Approved		17q22				ENSG00000212469	106480076
RNA, U6 small nuclear 1159, pseudogene	Approved		20p12.1				ENSG00000199803	106481939
RNA, U6 small nuclear 1160, pseudogene	Approved		9q22.32				ENSG00000207276	106481546
RNA, U6 small nuclear 1161, pseudogene	Approved		22q13.31				ENSG00000251985	106480077
RNA, U6 small nuclear 1162, pseudogene	Approved		14q23.2				ENSG00000207172	106480078
RNA, U6 small nuclear 1163, pseudogene	Approved		6q21				ENSG00000201386	106481547
RNA, U6 small nuclear 1164, pseudogene	Approved		5q31.1				ENSG00000201298	106480644
RNA, U6 small nuclear 1165, pseudogene	Approved		10q24.32				ENSG00000222051	106480079
RNA, U6 small nuclear 1167, pseudogene	Approved		10p11.21				ENSG00000200097	106480407
RNA, U6 small nuclear 1168, pseudogene	Approved		2p11.2				ENSG00000212133	106481548
RNA, U6 small nuclear 1169, pseudogene	Approved		15q15.1				ENSG00000200407	106480080
RNA, U6 small nuclear 1170, pseudogene	Approved		10q11.21				ENSG00000251783	106480081
RNA, U6 small nuclear 1171, pseudogene	Approved		1p36.11				ENSG00000252515	106481940
RNA, U6 small nuclear 1172, pseudogene	Approved		8q22.1				ENSG00000202095	106481549
symbol withdrawn, see RNU6-930P	Symbol Withdrawn							
RNA, U6 small nuclear 1174, pseudogene	Approved		3q22.2				ENSG00000253087	106481550
RNA, U6 small nuclear 1175, pseudogene	Approved		11q13.3				ENSG00000202070	106480082
RNA, U6 small nuclear 1176, pseudogene	Approved		1p31.3				ENSG00000212257	106481551
RNA, U6 small nuclear 1177, pseudogene	Approved		1p31.3				ENSG00000212360	106480645
RNA, U6 small nuclear 1178, pseudogene	Approved		17p11.2				ENSG00000252483	106480083
RNA, U6 small nuclear 1179, pseudogene	Approved		19p12				ENSG00000207397	106480084
RNA, U6 small nuclear 1180, pseudogene	Approved		2q13				ENSG00000201805	106481552
RNA, U6 small nuclear 1181, pseudogene	Approved		3p14.3				ENSG00000206918	106480085
RNA, U6 small nuclear 1183, pseudogene	Approved		12q23.2				ENSG00000252863	106481941
RNA, U6 small nuclear 1184, pseudogene	Approved		7q35				ENSG00000207318	106481553
symbol withdrawn, see RNU6-771P	Symbol Withdrawn							
RNA, U6 small nuclear 1186, pseudogene	Approved		15q26.3				ENSG00000222361	106480086
RNA, U6 small nuclear 1187, pseudogene	Approved		4q21.1				ENSG00000201641	106481554
RNA, U6 small nuclear 1188, pseudogene	Approved		12q24.21				ENSG00000200665	106480408
RNA, U6 small nuclear 1189, pseudogene	Approved		Xp11.23				ENSG00000206685	106480646
RNA, U6 small nuclear 1190, pseudogene	Approved		5p13.2				ENSG00000222743	106480087
RNA, U6 small nuclear 1191, pseudogene	Approved		16q23.2				ENSG00000252608	106481555
RNA, U6 small nuclear 1192, pseudogene	Approved		17q12				ENSG00000277029	106480088
RNA, U6 small nuclear 1193, pseudogene	Approved		9q21.11				ENSG00000238551	106481556
RNA, U6 small nuclear 1194, pseudogene	Approved		3p26.3				ENSG00000252017	106481557
RNA, U6 small nuclear 1195, pseudogene	Approved		4p14				ENSG00000207198	106480647
RNA, U6 small nuclear 1196, pseudogene	Approved		4q31.3				ENSG00000252030	106480089
RNA, U6 small nuclear 1197, pseudogene	Approved		8q21.11				ENSG00000212485	106481558
RNA, U6 small nuclear 1198, pseudogene	Approved		7q11.23				ENSG00000252713	106480090
RNA, U6 small nuclear 1199, pseudogene	Approved		1p36.33				ENSG00000223181	106480091
RNA, U6 small nuclear 1200, pseudogene	Approved		3q13.31				ENSG00000206889	106481559
RNA, U6 small nuclear 1201, pseudogene	Approved		17q21.32				ENSG00000206954	106481942
RNA, U6 small nuclear 1203, pseudogene	Approved		12q13.11				ENSG00000222635	106480092
RNA, U6 small nuclear 1204, pseudogene	Approved		14q22.3				ENSG00000200818	106481560
RNA, U6 small nuclear 1205, pseudogene	Approved		1q44				ENSG00000200495	106480093
RNA, U6 small nuclear 1206, pseudogene	Approved		2q33.1				ENSG00000252148	106481561
RNA, U6 small nuclear 1207, pseudogene	Approved		10q11.21				ENSG00000207071	106480648
RNA, U6 small nuclear 1208, pseudogene	Approved		1p36.11				ENSG00000238482	106480094
RNA, U6 small nuclear 1209, pseudogene	Approved		8q22.1				ENSG00000200525	106480095
RNA, U6 small nuclear 1210, pseudogene	Approved		18p11.21				ENSG00000200645	106481562
RNA, U6 small nuclear 1211, pseudogene	Approved		1q42.2				ENSG00000238382	106480096
RNA, U6 small nuclear 1212, pseudogene	Approved		10p12.31				ENSG00000252832	106481943
RNA, U6 small nuclear 1213, pseudogene	Approved		8q21.13				ENSG00000252884	106481563
RNA, U6 small nuclear 1214, pseudogene	Approved		4q31.1				ENSG00000200520	106481781
RNA, U6 small nuclear 1215, pseudogene	Approved		2p24.2				ENSG00000207170	106480097
RNA, U6 small nuclear 1216, pseudogene	Approved		2p13.3				ENSG00000199460	106480098
RNA, U6 small nuclear 1217, pseudogene	Approved		4q26				ENSG00000223208	106481564
RNA, U6 small nuclear 1218, pseudogene	Approved		8p12				ENSG00000239175	106480099
RNA, U6 small nuclear 1219, pseudogene	Approved		22q12.1				ENSG00000251952	106480649
RNA, U6 small nuclear 1220, pseudogene	Approved		8q21.12				ENSG00000252935	106481565
symbol withdrawn, see RNU6-280P	Symbol Withdrawn							
RNA, U6 small nuclear 1222, pseudogene	Approved		6q24.3				ENSG00000207345	106480100
RNA, U6 small nuclear 1223, pseudogene	Approved		19p13.3				ENSG00000252933	106481566
RNA, U6 small nuclear 1224, pseudogene	Approved		8q22.3				ENSG00000252593	106480101
RNA, U6 small nuclear 1225, pseudogene	Approved		Xq12				ENSG00000252145	106480650
RNA, U6 small nuclear 1226, pseudogene	Approved		6q21				ENSG00000207044	106480102
RNA, U6 small nuclear 1227, pseudogene	Approved		3p22.2				ENSG00000206708	106481567
RNA, U6 small nuclear 1228, pseudogene	Approved		9q21.13				ENSG00000212316	106480103
RNA, U6 small nuclear 1229, pseudogene	Approved		7q11.21				ENSG00000201165	106481568
RNA, U6 small nuclear 1230, pseudogene	Approved		4q31.23				ENSG00000207121	106481944
RNA, U6 small nuclear 1231, pseudogene	Approved		10q24.32				ENSG00000252994	106480104
RNA, U6 small nuclear 1232, pseudogene	Approved		5q13.1				ENSG00000252108	106480105
RNA, U6 small nuclear 1233, pseudogene	Approved		3q26.31				ENSG00000199792	106481569
RNA, U6 small nuclear 1234, pseudogene	Approved		14q12				ENSG00000252686	106480106
RNA, U6 small nuclear 1235, pseudogene	Approved		15q11.2				ENSG00000207289	106480701
RNA, U6 small nuclear 1236, pseudogene	Approved		3q13.13				ENSG00000252889	106481570
RNA, U6 small nuclear 1237, pseudogene	Approved		1p34.2				ENSG00000207508	106480651
RNA, U6 small nuclear 1238, pseudogene	Approved		11q13.2				ENSG00000253024	106480107
RNA, U6 small nuclear 1239, pseudogene	Approved		14q11.2				ENSG00000212612	106481571
RNA, U6 small nuclear 1240, pseudogene	Approved		1q31.1				ENSG00000202025	106866914
RNA, U6 small nuclear 1241, pseudogene	Approved		16p12.1				ENSG00000207266	106481572
RNA, U6 small nuclear 1242, pseudogene	Approved		18q12.3				ENSG00000212354	106480108
RNA, U6 small nuclear 1243, pseudogene	Approved		11q12.3				ENSG00000200898	106481573
RNA, U6 small nuclear 1244, pseudogene	Approved		10p11.22				ENSG00000200484	106481945
RNA, U6 small nuclear 1245, pseudogene	Approved		1p35.3				ENSG00000223062	106480109
RNA, U6 small nuclear 1246, pseudogene	Approved		1p31.1				ENSG00000212366	106480110
RNA, U6 small nuclear 1247, pseudogene	Approved		6q25.1				ENSG00000252431	106481574
RNA, U6 small nuclear 1248, pseudogene	Approved		1q41				ENSG00000212398	106480111
RNA, U6 small nuclear 1249, pseudogene	Approved		17q22				ENSG00000200107	106480652
RNA, U6 small nuclear 1250, pseudogene	Approved		10q21.3				ENSG00000212520	106481575
RNA, U6 small nuclear 1251, pseudogene	Approved		20q13.12				ENSG00000201372	106480112
RNA, U6 small nuclear 1252, pseudogene	Approved		4q12				ENSG00000199924	106480113
RNA, U6 small nuclear 1254, pseudogene	Approved		7q11.21				ENSG00000212568	106481576
RNA, U6 small nuclear 1255, pseudogene	Approved		8q24.21				ENSG00000200304	106481946
RNA, U6 small nuclear 1256, pseudogene	Approved		3q12.3				ENSG00000252348	106480114
RNA, U6 small nuclear 1257, pseudogene	Approved		20p11.21				ENSG00000207355	106481577
RNA, U6 small nuclear 1258, pseudogene	Approved		14q32.12				ENSG00000252720	106480115
RNA, U6 small nuclear 1260, pseudogene	Approved		9p22.3				ENSG00000199814	106481578
RNA, U6 small nuclear 1261, pseudogene	Approved		14q13.1				ENSG00000253003	106480116
RNA, U6 small nuclear 1262, pseudogene	Approved		16q22.1				ENSG00000252026	106480409
RNA, U6 small nuclear 1263, pseudogene	Approved		3q12.1				ENSG00000207331	106480653
RNA, U6 small nuclear 1264, pseudogene	Approved		17p13.2				ENSG00000206618	106480117
RNA, U6 small nuclear 1265, pseudogene	Approved		1p36.21				ENSG00000252151	106481579
RNA, U6 small nuclear 1266, pseudogene	Approved		10q22.3				ENSG00000199664	106480118
RNA, U6 small nuclear 1267, pseudogene	Approved		17q11.2				ENSG00000222679	106481580
RNA, U6 small nuclear 1268, pseudogene	Approved		14q11.2				ENSG00000212516	106480654
RNA, U6 small nuclear 1269, pseudogene	Approved		9p12				ENSG00000212441	106480119
RNA, U6 small nuclear 1270, pseudogene	Approved		3p13				ENSG00000252937	106481581
RNA, U6 small nuclear 1271, pseudogene	Approved		12q21.2				ENSG00000252858	106480120
RNA, U6 small nuclear 1272, pseudogene	Approved		7q34				ENSG00000199646	106480121
RNA, U6 small nuclear 1273, pseudogene	Approved		12q13.12				ENSG00000199903	106481947
RNA, U6 small nuclear 1274, pseudogene	Approved		10q24.1				ENSG00000207287	106481582
RNA, U6 small nuclear 1275, pseudogene	Approved		2q22.3				ENSG00000212389	106480122
RNA, U6 small nuclear 1276, pseudogene	Approved		8p21.1				ENSG00000202242	106481583
RNA, U6 small nuclear 1277, pseudogene	Approved		14q21.1				ENSG00000201431	106480123
RNA, U6 small nuclear 1278, pseudogene	Approved		18q21.1				ENSG00000251939	106480124
RNA, U6 small nuclear 1279, pseudogene	Approved		3q29				ENSG00000206644	106480655
RNA, U6 small nuclear 1280, pseudogene	Approved		15q25.3				ENSG00000202081	106481584
RNA, U6 small nuclear 1281, pseudogene	Approved		1p32.3				ENSG00000252032	106480125
RNA, U6 small nuclear 1282, pseudogene	Approved		4q31.3				ENSG00000252544	106481585
RNA, U6 small nuclear 1283, pseudogene	Approved		1q44				ENSG00000202184	106481782
RNA, U6 small nuclear 1284, pseudogene	Approved		3q22.3				ENSG00000200571	106480126
RNA, U6 small nuclear 1285, pseudogene	Approved		4q31.3				ENSG00000200350	106481948
RNA, U6 small nuclear 1286, pseudogene	Approved		6q22.31				ENSG00000206598	106481586
RNA, U6 small nuclear 1287, pseudogene	Approved		15q21.3				ENSG00000199784	106480127
RNA, U6 small nuclear 1288, pseudogene	Approved		2p24.3				ENSG00000251859	106480128
RNA, U6 small nuclear 1289, pseudogene	Approved		18q11.2				ENSG00000207160	106481587
RNA, U6 small nuclear 1290, pseudogene	Approved		2q31.1				ENSG00000199827	106480129
RNA, U6 small nuclear 1291, pseudogene	Approved		14q22.1				ENSG00000252400	106481588
RNA, U6 small nuclear 1292, pseudogene	Approved		11q14.1				ENSG00000206583	106480656
RNA, U6 small nuclear 1293, pseudogene	Approved		9q21.11				ENSG00000206804	106480130
RNA, U6 small nuclear 1294, pseudogene	Approved		3q23				ENSG00000251804	106480131
symbol withdrawn, see RNU6-318P	Symbol Withdrawn							
RNA, U6 small nuclear 1296, pseudogene	Approved		5q11.1				ENSG00000206606	106480132
RNA, U6 small nuclear 1297, pseudogene	Approved		1q22				ENSG00000207144	106480657
RNA, U6 small nuclear 1298, pseudogene	Approved		4q22.1				ENSG00000199326	106481590
RNA, U6 small nuclear 1299, pseudogene	Approved		6q21				ENSG00000252125	106480133
RNA, U6 small nuclear 1300, pseudogene	Approved		8q21.11				ENSG00000212348	106480134
RNA, U6 small nuclear 1301, pseudogene	Approved		3p22.2				ENSG00000199594	106481591
RNA, U6 small nuclear 1303, pseudogene	Approved		9q21.2				ENSG00000201711	106481949
RNA, U6 small nuclear 1304, pseudogene	Approved		1q42.12				ENSG00000223306	106480135
RNA, U6 small nuclear 1305, pseudogene	Approved		5p13.2				ENSG00000201223	106481592
RNA, U6 small nuclear 1306, pseudogene	Approved		11q13.1				ENSG00000202089	106480136
RNA, U6 small nuclear 1307, pseudogene	Approved		19q13.42				ENSG00000212314	106481593
RNA, U6 small nuclear 1308, pseudogene	Approved		3q13.12				ENSG00000252626	106480137
RNA, U6 small nuclear 1309, pseudogene	Approved		1q21.3				ENSG00000200175	106480410
RNA, U6 small nuclear 1310, pseudogene	Approved		1q24.2				ENSG00000206880	106480658
RNA, U6 small nuclear 1311, pseudogene	Approved		5q31.1				ENSG00000207459	106480138
RNA, U6 small nuclear 1312, pseudogene	Approved		2p11.2				ENSG00000199295	106481594
RNA, U6 small nuclear 1313, pseudogene	Approved		17q21.33				ENSG00000199492	106480139
RNA, U6 small nuclear 1314, pseudogene	Approved		Yq11.23				ENSG00000252948	106481595
RNA, U6 small nuclear 1315, pseudogene	Approved		12p13.33				ENSG00000252996	106481950
RNA, U6 small nuclear 1316, pseudogene	Approved		14q32.32				ENSG00000206969	106480140
RNA, U6 small nuclear 1317, pseudogene	Approved		3q26.31				ENSG00000201452	106481596
RNA, U6 small nuclear 1318, pseudogene	Approved		1p21.2				ENSG00000202259	106480141
RNA, U6 small nuclear 1319, pseudogene	Approved		1q42.11				ENSG00000212157	106480142
RNA, U6 small nuclear 1320, pseudogene	Approved		2q11.1				ENSG00000212140	106480659
RNA, U6 small nuclear 1321, pseudogene	Approved		Xp11.4				ENSG00000212207	106481597
RNA, U6 small nuclear 1322, pseudogene	Approved		7q22.3				ENSG00000201179	106480143
RNA, U6 small nuclear 1323, pseudogene	Approved		Xq23				ENSG00000206752	106481598
RNA, U6 small nuclear 1324, pseudogene	Approved		8q13.1				ENSG00000206949	106480144
RNA, U6 small nuclear 1325, pseudogene	Approved		4q13.1				ENSG00000201775	106480145
RNA, U6 small nuclear 1326, pseudogene	Approved		21q21.1				ENSG00000212564	106481951
RNA, U6 small nuclear 1327, pseudogene	Approved		9p24.3				ENSG00000202172	106481599
RNA, U6 small nuclear 1328, pseudogene	Approved		7q21.3				ENSG00000222870	106480146
RNA, U6 small nuclear 1329, pseudogene	Approved		12q22				ENSG00000202534	106481600
RNA, U6 small nuclear 1330, pseudogene	Approved		5q13.3				ENSG00000199645	106480411
RNA, U6 small nuclear 1331, pseudogene	Approved		8q11.23				ENSG00000200528	106480147
RNA, U6 small nuclear 1332, pseudogene	Approved		15q21.1				ENSG00000252475	106480660
RNA, U6 small nuclear 1333, pseudogene	Approved		2q37.3				ENSG00000251971	106481601
RNA, U6 small nuclear 1334, pseudogene	Approved		Yp11.31				ENSG00000251841	106480148
RNA, U6 small nuclear 1335, pseudogene	Approved		7p11.2				ENSG00000202296	106480149
RNA, U6 small nuclear 1336, pseudogene	Approved		4q32.3				ENSG00000206613	106480661
RNA, U6 small nuclear 1337, pseudogene	Approved		19q13.43				ENSG00000252334	106481602
RNA, U6 small nuclear 1338, pseudogene	Approved		6q14.1				ENSG00000252137	106480150
RNA, U6 small nuclear 1339, pseudogene	Approved		15q25.2				ENSG00000200444	106481603
RNA, U6 small nuclear 1340, pseudogene	Approved		16p12.3				ENSG00000207167	106480151
RNA, U6atac small nuclear (U12-dependent splicing)	Approved		9q34.2	BX649601	NR_023344	601429	ENSG00000221676	100151684
RNA, U6atac small nuclear 2, pseudogene	Approved		5q11.2		NG_007720		ENSG00000210678	100151685
RNA, U6atac small nuclear 3, pseudogene	Approved		17q21.32		NG_007721		ENSG00000210709	100151686
RNA, U6atac small nuclear 4, pseudogene	Approved		3p22.2		NG_007722		ENSG00000210181	100151687
RNA, U6atac small nuclear 5, pseudogene	Approved		4q13.3		NG_007723		ENSG00000210839	100151688
RNA, U6atac small nuclear 6, pseudogene	Approved		3p11.1				ENSG00000221059	106479545
RNA, U6atac small nuclear 7, pseudogene	Approved		17q11.2				ENSG00000221038	106479546
RNA, U6atac small nuclear 8, pseudogene	Approved		8q22.3				ENSG00000221387	106481161
RNA, U6atac small nuclear 9, pseudogene	Approved		14q22.2				ENSG00000252019	106479547
RNA, U6atac small nuclear 10, pseudogene	Approved		5q23.3				ENSG00000221562	106480540
RNA, U6atac small nuclear 11, pseudogene	Approved		10q11.21				ENSG00000221468	106481162
RNA, U6atac small nuclear 12, pseudogene	Approved		11q25				ENSG00000252351	106479548
RNA, U6atac small nuclear 13, pseudogene	Approved		4q33				ENSG00000251961	106479549
RNA, U6atac small nuclear 14, pseudogene	Approved		2q31.1				ENSG00000252027	106481163
RNA, U6atac small nuclear 15, pseudogene	Approved		3q13.13				ENSG00000221206	106481867
RNA, U6atac small nuclear 16, pseudogene	Approved		3p21.1				ENSG00000221518	106479550
RNA, U6atac small nuclear 17, pseudogene	Approved		20p11.21				ENSG00000251883	106481164
RNA, U6atac small nuclear 18, pseudogene	Approved		1p36.22				ENSG00000221340	106479551
RNA, U6atac small nuclear 19, pseudogene	Approved		2q31.3				ENSG00000221023	106481165
RNA, U6atac small nuclear 20, pseudogene	Approved		18q11.2				ENSG00000221363	106480541
RNA, U6atac small nuclear 21, pseudogene	Approved		6p24.3				ENSG00000221583	106479552
RNA, U6atac small nuclear 22, pseudogene	Approved		22q13.2				ENSG00000252603	106479553
RNA, U6atac small nuclear 23, pseudogene	Approved		Xq27.1				ENSG00000221375	106481166
RNA, U6atac small nuclear 24, pseudogene	Approved		3q29				ENSG00000252620	106479554
RNA, U6atac small nuclear 25, pseudogene	Approved		16q22.2				ENSG00000221725	106480384
RNA, U6atac small nuclear 26, pseudogene	Approved		3p14.3				ENSG00000210841	106480542
RNA, U6atac small nuclear 27, pseudogene	Approved		1p35.3				ENSG00000221216	106481167
RNA, U6atac small nuclear 28, pseudogene	Approved		14q31.2				ENSG00000238561	106479555
RNA, U6atac small nuclear 29, pseudogene	Approved		3p21.2				ENSG00000221015	106481168
RNA, U6atac small nuclear 30, pseudogene	Approved		14q21.3				ENSG00000221114	106481868
RNA, U6atac small nuclear 31, pseudogene	Approved		4q22.1				ENSG00000221440	106481169
RNA, U6atac small nuclear 32, pseudogene	Approved		8q11.23				ENSG00000251835	106479556
RNA, U6atac small nuclear 33, pseudogene	Approved		11p15.4				ENSG00000221574	106481170
RNA, U6atac small nuclear 34, pseudogene	Approved		20p11.23				ENSG00000221806	106479557
RNA, U6atac small nuclear 35, pseudogene	Approved		1q41		NR_157260		ENSG00000221571	106481171
RNA, U6atac small nuclear 36, pseudogene	Approved		5q13.3				ENSG00000252684	106480543
RNA, U6atac small nuclear 37, pseudogene	Approved		2p25.1				ENSG00000221255	106479558
RNA, U6atac small nuclear 38, pseudogene	Approved		20q13.12				ENSG00000221046	106479559
RNA, U6atac small nuclear 39, pseudogene	Approved		10p13				ENSG00000252118	106481172
RNA, U6atac small nuclear 40, pseudogene	Approved		7q35				ENSG00000221507	106479560
RNA, U6atac small nuclear 41, pseudogene	Approved		8q22.3				ENSG00000221527	106481869
RNA, U6atac small nuclear 42, pseudogene	Approved		12q14.3				ENSG00000221564	106481173
RNA, U6 small nuclear variant sequence with SNRPE pseudogene sequence	Approved		1p13	X54048			ENSG00000206832	6071
RNA, U7 small nuclear 1	Approved	RNU7	12p13.31		NR_023317	617876	ENSG00000238923	100147744
RNA, U7 small nuclear 2 pseudogene	Approved		2q22.3		NG_007583		ENSG00000251905	100147745
RNA, U7 small nuclear 3 pseudogene	Approved		6q25.1		NG_007584		ENSG00000252244	100147746
RNA, U7 small nuclear 4 pseudogene	Approved	RNU7-132P	12q15		NG_007585		ENSG00000252770	100147747
RNA, U7 small nuclear 5 pseudogene	Approved		15q21.1		NG_007586			100147748
RNA, U7 small nuclear 6 pseudogene	Approved		20q13.2		NG_007587		ENSG00000252654	100147749
RNA, U7 small nuclear 7 pseudogene	Approved		Xp11.4		NG_007594		ENSG00000238606	100147755
RNA, U7 small nuclear 8 pseudogene	Approved	RNU7-139P	1p31.1		NG_007595		ENSG00000251767	100147756
RNA, U7 small nuclear 9 pseudogene	Approved		2q36.3		NG_007596		ENSG00000238782	100147757
RNA, U7 small nuclear 10 pseudogene	Approved		3p24.3		NG_007597		ENSG00000271841	100147758
RNA, U7 small nuclear 11 pseudogene	Approved		4p14		NG_007598		ENSG00000252796	100147759
RNA, U7 small nuclear 12 pseudogene	Approved	RNU7-100P	10p12.1		NG_007599		ENSG00000251839	100147760
RNA, U7 small nuclear 13 pseudogene	Approved		1q25.3		NG_007600		ENSG00000252222	100147761
RNA, U7 small nuclear 14 pseudogene	Approved		20q13.2		NG_007601		ENSG00000238468	100147762
RNA, U7 small nuclear 15 pseudogene	Approved		5q31.1		NG_007602			100147763
RNA, U7 small nuclear 16 pseudogene	Approved		7q32.1		NG_007603			100147764
RNA, U7 small nuclear 17 pseudogene	Approved		18q11.2		NG_007604			100147765
RNA, U7 small nuclear 18 pseudogene	Approved	RNU7-142P	3q29		NG_007605		ENSG00000252174	100147766
RNA, U7 small nuclear 19 pseudogene	Approved		3p13		NG_007606		ENSG00000238959	100147767
RNA, U7 small nuclear 20 pseudogene	Approved		7q36.1		NG_007607		ENSG00000251712	100147768
RNA, U7 small nuclear 21 pseudogene	Approved		9q34.13		NG_007608		ENSG00000238558	100147769
RNA, U7 small nuclear 22 pseudogene	Approved		10p11.22		NG_007609		ENSG00000252482	100147770
RNA, U7 small nuclear 23 pseudogene	Approved		11q13.2		NG_007610		ENSG00000239099	100147771
RNA, U7 small nuclear 24 pseudogene	Approved	RNU7P3	16p12.1	M35539	NG_007611		ENSG00000239081	6074
RNA, U7 small nuclear 25 pseudogene	Approved		18p11.31		NG_007619		ENSG00000252353	100147812
RNA, U7 small nuclear 26 pseudogene	Approved		6p22.1		NG_007620		ENSG00000238610	100147813
RNA, U7 small nuclear 27 pseudogene	Approved		7q32.1		NG_007621		ENSG00000238750	100147814
RNA, U7 small nuclear 28 pseudogene	Approved		11p15.4		NG_007622		ENSG00000252568	100147815
RNA, U7 small nuclear 29 pseudogene	Approved		1p35.3		NG_007623		ENSG00000252429	100147816
RNA, U7 small nuclear 30 pseudogene	Approved		14q32.11		NG_007624		ENSG00000252644	100147817
RNA, U7 small nuclear 31 pseudogene	Approved		17p13.2		NG_007625			100147818
RNA, U7 small nuclear 32 pseudogene	Approved		3q26.2		NG_007626			100147819
RNA, U7 small nuclear 33 pseudogene	Approved		4p16.3		NG_007627			100147820
RNA, U7 small nuclear 34 pseudogene	Approved		5q23.1		NG_007628		ENSG00000238904	100147821
RNA, U7 small nuclear 35 pseudogene	Approved		7p14.1		NG_007629		ENSG00000252983	100147822
RNA, U7 small nuclear 36 pseudogene	Approved	RNU7-112P	9p13.3		NG_007630			100147823
RNA, U7 small nuclear 37 pseudogene	Approved		Xp11.22		NG_007631		ENSG00000251707	100147824
RNA, U7 small nuclear 38 pseudogene	Approved		10q22.1		NG_007632		ENSG00000238446	100147825
RNA, U7 small nuclear 39 pseudogene	Approved		12q13.12		NG_007633			100147826
RNA, U7 small nuclear 40 pseudogene	Approved		12q13.3		NG_007634		ENSG00000252206	100147827
RNA, U7 small nuclear 41 pseudogene	Approved		14q13.2		NG_007635		ENSG00000251726	100147828
RNA, U7 small nuclear 42 pseudogene	Approved		16q22.1		NG_007636			100147829
RNA, U7 small nuclear 43 pseudogene	Approved	RNU7-118P	17p13.1		NG_007637		ENSG00000252363	100147830
RNA, U7 small nuclear 44 pseudogene	Approved		2q31.1		NG_007638			100147831
RNA, U7 small nuclear 45 pseudogene	Approved		2q33.1		NG_007639		ENSG00000238829	100147832
RNA, U7 small nuclear 46 pseudogene	Approved		2q11.2		NG_007640		ENSG00000238830	100147833
RNA, U7 small nuclear 47 pseudogene	Approved		3q23		NG_007641		ENSG00000251787	100147834
RNA, U7 small nuclear 48 pseudogene	Approved		6q13		NG_007642		ENSG00000238386	100147835
RNA, U7 small nuclear 49 pseudogene	Approved		11p15.2		NG_007643		ENSG00000251991	100147836
RNA, U7 small nuclear 50 pseudogene	Approved		11p15.4		NG_007644		ENSG00000238304	100147837
RNA, U7 small nuclear 51 pseudogene	Approved		14q31.1		NG_007669		ENSG00000252369	100151647
RNA, U7 small nuclear 52 pseudogene	Approved		17q23.2		NG_007670		ENSG00000251981	100151648
RNA, U7 small nuclear 53 pseudogene	Approved		5q23.3		NG_007671		ENSG00000252514	100151649
RNA, U7 small nuclear 54 pseudogene	Approved		7q32.1		NG_007672		ENSG00000238590	100151650
RNA, U7 small nuclear 55 pseudogene	Approved	RNU7P4	8p23.1	M35540	NG_001191		ENSG00000239078	6075
RNA, U7 small nuclear 56 pseudogene	Approved		Xp22.2		NG_007673		ENSG00000238709	100151651
RNA, U7 small nuclear 57 pseudogene	Approved		1q21.3		NG_007674		ENSG00000238365	100151652
RNA, U7 small nuclear 58 pseudogene	Approved		11q12.1		NG_007675			100151653
RNA, U7 small nuclear 59 pseudogene	Approved		11q14.1		NG_007676		ENSG00000238880	100151654
